package,version,filename,sha256,python_tag,abi_tag,platform_tag,source
brotli,1.2.0,brotli-1.2.0-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,072e7624b1fc4d601036ab3f4f27942ef772887e876beff0301d261210bca97f,cp312,cp312,manylinux_2_17_x86_64,pip download
cffi,2.0.0,cffi-2.0.0-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,3e17ed538242334bf70832644a32a7aae3d83b57567f9fd60a26257e992b79ba,cp312,cp312,manylinux_2_17_x86_64,pip download
chardet,7.4.3,chardet-7.4.3-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,9a4904dd5f071b7a7d7f50b4a67a86db3c902d243bf31708f1d5cde2f68239cb,cp312,cp312,manylinux_2_17_x86_64,pip download
cssselect2,0.9.0,cssselect2-0.9.0-py3-none-any.whl,6a99e5f91f9a016a304dd929b0966ca464bcfda15177b6fb4a118fc0fb5d9563,py3,none,any,pip download
defusedxml,0.7.1,defusedxml-0.7.1-py2.py3-none-any.whl,a352e7e428770286cc899e2542b6cdaedb2b4953ff269a210103ec58f6198a61,py2,none,any,pip download
et-xmlfile,2.0.0,et_xmlfile-2.0.0-py3-none-any.whl,7a91720bc756843502c3b7504c77b8fe44217c85c537d85037f0f536151b2caa,py3,none,any,pip download
fonttools,4.62.1,fonttools-4.62.1-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,149f7d84afca659d1a97e39a4778794a2f83bf344c5ee5134e09995086cc2392,cp312,cp312,manylinux_2_17_x86_64,pip download
lxml,6.1.0,lxml-6.1.0-cp312-cp312-manylinux_2_26_x86_64.manylinux_2_28_x86_64.whl,bc783ee3147e60a25aa0445ea82b3e8aabb83b240f2b95d32cb75587ff781814,cp312,cp312,manylinux_2_26_x86_64,pip download
numpy,2.2.6,numpy-2.2.6-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,fd83c01228a688733f1ded5201c678f0c53ecc1006ffbc404db9f7a899ac6249,cp312,cp312,manylinux_2_17_x86_64,pip download
odfpy,1.4.1,odfpy-1.4.1-py2.py3-none-any.whl,47943c88ca1ce11e2dd37f3629752680f4332f381b695c3cc1fbbdd322fae313,py2,none,any,vendored
openpyxl,3.1.5,openpyxl-3.1.5-py2.py3-none-any.whl,5282c12b107bffeef825f4617dc029afaf41d0ea60823bbb665ef3079dc79de2,py2,none,any,pip download
pandas,2.2.3,pandas-2.2.3-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,fffb8ae78d8af97f849404f21411c95062db1496aeb3e56f146f0355c9989319,cp312,cp312,manylinux_2_17_x86_64,pip download
pillow,12.3.0,pillow-12.3.0-cp312-cp312-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl,78cb2c6865a35ab8ff8b75fd122f6033b92a62c82801110e48ddd6c936a45d91,cp312,cp312,manylinux_2_27_x86_64,pip download
pycparser,3.0,pycparser-3.0-py3-none-any.whl,b727414169a36b7d524c1c3e31839a521725078d7b2ff038656844266160a992,py3,none,any,pip download
pydyf,0.12.1,pydyf-0.12.1-py3-none-any.whl,ea25b4e1fe7911195cb57067560daaa266639184e8335365cc3ee5214e7eaadc,py3,none,any,pip download
pypdf,6.18.0,pypdf-6.18.0-py3-none-any.whl,05b762b77bcb9dcb4a7c91fcf5dded585b25bee7269ab3d3001d7c55fa1b324b,py3,none,any,pip download
pyphen,0.17.2,pyphen-0.17.2-py3-none-any.whl,3a07fb017cb2341e1d9ff31b8634efb1ae4dc4b130468c7c39dd3d32e7c3affd,py3,none,any,pip download
python-dateutil,2.9.0.post0,python_dateutil-2.9.0.post0-py2.py3-none-any.whl,a8b2bc7bffae282281c8140a97d3aa9c14da0b136dfe83f850eea9a5f7470427,py2,none,any,pip download
python-docx,1.1.2,python_docx-1.1.2-py3-none-any.whl,08c20d6058916fb19853fcf080f7f42b6270d89eac9fa5f8c15f691c0017fabe,py3,none,any,pip download
python-pptx,1.0.2,python_pptx-1.0.2-py3-none-any.whl,160838e0b8565a8b1f67947675886e9fea18aa5e795db7ae531606d68e785cba,py3,none,any,pip download
pytz,2026.2,pytz-2026.2-py2.py3-none-any.whl,04156e608bee23d3792fd45c94ae47fae1036688e75032eea2e3bf0323d1f126,py2,none,any,pip download
reportlab,4.2.2,reportlab-4.2.2-py3-none-any.whl,927616931637e2f13e2ee3b3b6316d7a07803170e258621cff7d138bde17fbb5,py3,none,any,pip download
six,1.17.0,six-1.17.0-py2.py3-none-any.whl,4721f391ed90541fddacab5acf947aa0d3dc7d27b2e1e8eda2be8970586c3274,py2,none,any,pip download
tinycss2,1.5.1,tinycss2-1.5.1-py3-none-any.whl,3415ba0f5839c062696996998176c4a3751d18b7edaaeeb658c9ce21ec150661,py3,none,any,pip download
tinyhtml5,2.1.0,tinyhtml5-2.1.0-py3-none-any.whl,6e11cfff38515834268daf89d5f85bbde0b6dd02e8d9e212d1385c2289b89f0a,py3,none,any,pip download
typing-extensions,4.15.0,typing_extensions-4.15.0-py3-none-any.whl,f0fa19c6845758ab08074a0cfa8b7aecb71c999ca73d62883bc25cc018c4e548,py3,none,any,pip download
tzdata,2026.2,tzdata-2026.2-py2.py3-none-any.whl,bbe9af844f658da81a5f95019480da3a89415801f6cc966806612cc7169bffe7,py2,none,any,pip download
weasyprint,70.0,weasyprint-70.0-py3-none-any.whl,5043e55e38d2a2af2b2b871e869697b1f65dad5f8b4a3677961d04ceacf9c5fe,py3,none,any,pip download
webencodings,0.5.1,webencodings-0.5.1-py2.py3-none-any.whl,a0af1213f3c2226497a97e2b3aa01a7e4bee4f403f95be16fc9acd2947514a78,py2,none,any,pip download
xlsxwriter,3.2.9,xlsxwriter-3.2.9-py3-none-any.whl,9a5db42bc5dff014806c58a20b9eae7322a134abb6fce3c92c181bfb275ec5b3,py3,none,any,pip download
zopfli,0.4.1,zopfli-0.4.1-cp310-abi3-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,fdfb7ce9f5de37a5b2f75dd2642fd7717956ef2a72e0387302a36d382440db07,cp310,abi3,manylinux_2_17_x86_64,pip download
